,단어,품사,점수
10052,갈비,N,0
10053,이제,N,0
10054,시간,N,0
10055,다르다,V,0
10056,호불호,N,-1
10057,갈리다,V,0
10058,제주시,N,0
10059,색감,N,0
10060,과정,N,0
10061,꺼리다,V,-1
10062,하다,V,0
10063,이용,N,0
10064,소개,N,0
10065,순식간,N,0
10066,마지막,N,0
10067,도토리묵,N,0
10068,입문,N,0
10069,강추,N,2
10070,만나다,V,0
10071,전문점,N,2
10072,드리다,V,0
10073,미만,N,0
10074,특유,N,0
10075,노형,N,0
10076,나오다,V,0
10077,냄새,N,0
10078,기분,N,0
10079,품질,N,2
10080,리스트,N,0
10081,젓가락,N,0
10082,이다,V,0
10083,건물,N,0
10084,원목,N,0
10085,올리다,V,0
10086,아니다,V,-2
10087,좋다,V,2
10088,보이다,V,0
10089,이유,N,0
10090,나물,N,0
10091,고기,N,0
10092,갖다,V,0
10093,안녕,N,0
10094,때문,N,0
10095,직원,N,0
10096,마무리,N,0
10097,사용,N,0
10098,굽다,V,0
10099,간판,N,0
10100,되다,V,0
10101,익다,V,0
10102,옳다,V,2
10103,최고,N,2
10104,제원,N,0
10105,보다,V,0
10106,분위기,N,0
10107,가다,V,0
10108,테이블,N,0
10109,앉다,V,0
10110,지다,V,0
10111,취향,N,2
10112,결정,N,0
10113,곰취,N,0
10114,곁들다,V,0
10115,없다,V,-2
10116,살사,N,0
10117,달마루,N,0
10118,쉽다,V,0
10119,틀리다,V,0
10120,워머,N,0
10121,물다,V,0
10122,흐르다,V,0
10123,주차장,N,0
10124,거리,N,0
10125,완전,N,0
10126,냉채,N,0
10127,들다,V,0
10128,개인,N,0
10129,별거,N,0
10130,숙주,N,0
10131,부담,N,-1
10132,사장,N,0
10133,올라가다,V,0
10134,넓다,V,1
10135,계단,N,0
10136,선호,N,0
10137,마시다,V,0
10138,영업,N,0
10139,기본,N,0
10140,종류,N,0
10141,많다,V,2
10142,놓이다,V,0
10143,생각,N,0
10144,서비스,N,2
10145,비비다,V,0
10146,별도,N,0
10147,싸다,V,0
10148,넘다,V,0
10149,볶음,N,0
10150,선택,N,0
10151,후회,N,-2
10152,오르다,V,0
10153,사거리,N,0
10154,데려와야다,V,0
10155,반기다,V,1
10156,명란,N,0
10157,이쁘다,V,2
10158,과일,N,0
10159,주차,N,0
10160,유지,N,0
10161,크다,V,0
10162,조합,N,0
10163,보유,N,0
10164,촛불,N,0
10165,깨어나다,V,0
10166,강하다,V,0
10167,다음,N,0
10168,거부,N,-2
10169,놀러오다,V,0
10170,짠맛,N,0
10171,맛있다,V,2
10172,생후,N,0
10173,도착,N,0
10174,전반,N,0
10175,지인,N,0
10176,내려가다,V,0
10177,오랜만,N,0
10178,일반,N,0
10179,야채,N,0
10180,추천,N,2
10181,내부,N,0
10182,다양,N,2
10183,굳다,V,0
10184,소스,N,0
10185,올려놓다,V,0
10186,구우다,V,0
10187,입안,N,0
10188,드다,V,0
10189,창가,N,0
10190,크기,N,0
10191,좌석,N,0
10192,있다,V,0
10193,가볍다,V,1
10194,소품,N,0
10195,이름,N,0
10196,언니,N,0
10197,주문,N,0
10198,고수,N,0
10199,짜다,V,0
10200,식당,N,0
10201,개다,V,0
10202,곁들이다,V,0
10203,꿀맛,N,2
10204,윤기,N,0
10205,본죽,N,0
10206,골구,N,0
10207,녹아들다,V,0
10208,꼬치,N,0
10209,주다,V,0
10210,설레다,V,2
10211,공영,N,0
