,단어,품사,점수
458,광진교,N,0
459,해수욕객,N,0
460,천성,N,0
461,훼손,N,-2
462,동요,N,0
463,늘리다,V,0
464,천기,N,0
465,베푸다,V,0
466,인격,N,0
467,우두머리,N,0
468,나라,N,0
469,전달,N,0
470,어른,N,0
471,화천,N,0
472,트다,V,0
473,태도,N,0
474,어그러지다,V,-1
475,기독교,N,0
476,못사다,V,0
477,명령,N,0
478,우주,N,0
479,정직,N,1
480,근원,N,0
481,스스로,N,0
482,주가,N,0
483,받침대,N,0
484,연수원,N,0
485,모자라다,V,0
486,연수생,N,0
487,도인,N,0
488,듣다,V,0
489,변화,N,0
490,사사,N,0
491,통달,N,0
492,실지,N,0
493,전부,N,0
494,드러내다,V,0
495,분부,N,0
496,공허,N,-1
497,붙들리다,V,0
498,생기,N,2
499,그릇,N,0
500,명대,N,0
501,설악산,N,0
502,근심,N,-2
503,넓히다,V,1
504,윤리,N,1
505,약간,N,0
506,짜이다,V,0
507,바쁘다,V,-2
508,연수,N,0
509,죽이다,V,0
510,적도,N,0
511,先生,N,0
512,원한,N,-2
513,거여,N,0
514,접촉,N,0
515,시봉,N,0
516,차갑다,V,0
517,행적,N,0
518,너그럽다,V,1
519,충실,N,1
520,의통,N,0
521,외지다,V,-1
522,아무렇다,V,0
523,무극,N,0
524,마음먹다,V,0
525,썩다,V,0
526,명분,N,0
527,호장,N,0
528,덕화,N,0
529,굶주리다,V,-2
530,끼이다,V,0
531,빌다,V,0
532,중체,N,0
533,통치,N,0
534,단련,N,0
535,화해다,V,0
536,얽다,V,0
537,불통,N,0
538,일삼다,V,0
539,신혼,N,2
540,등급,N,0
541,남부,N,0
542,길손,N,0
543,증원,N,0
544,힘차다,V,2
545,곧다,V,0
546,닦다,V,0
547,스릴,N,1
548,의견,N,0
549,시기,N,0
550,흐름,N,0
551,교만,N,0
552,겪다,V,0
553,배우,N,0
554,출신,N,0
555,셈하다,V,0
556,궂다,V,-1
557,변통,N,0
558,만물,N,0
559,만나,N,0
560,대순,N,0
561,섬기다,V,0
562,충동,N,-1
563,거울삼다,V,0
564,어기다,V,0
565,임원,N,0
566,공민학교,N,0
567,해수욕,N,0
568,인간,N,0
569,추구,N,0
570,살리다,V,0
571,응하다,V,0
572,배반,N,-2
573,평정,N,2
574,웃음,N,2
575,타고나다,V,2
576,지혜,N,2
577,독차지,N,-1
578,차가우다,V,0
579,파리,N,0
580,절단나다,V,0
581,선교,N,0
582,하느님,N,0
583,도량,N,0
584,도심지,N,0
585,벼슬아치,N,0
586,소유,N,0
587,관리,N,1
588,낳다,V,0
589,저축,N,1
590,합덕,N,0
591,무기,N,0
592,只今,N,0
593,밉다,V,-2
594,방해,N,-2
595,낙원,N,0
596,벌이,N,0
597,떠맡다,V,0
598,배우다,V,0
599,도리,N,0
600,어맨다,N,0
601,진리,N,0
602,사하,N,0
603,제위,N,0
604,후세,N,0
605,각지,N,0
606,거두,N,0
607,단독,N,0
608,더위,N,0
609,수레,N,0
610,진술,N,0
611,익히다,V,0
612,영토,N,0
613,망각,N,0
614,온기,N,2
615,어긋나다,V,-2
616,以後,N,0
617,기인,N,0
618,불화,N,-2
619,교제,N,0
620,내가,N,0
621,몸뚱이,N,0
622,계승,N,0
623,여기다,V,0
624,도래,N,0
625,동해,N,0
626,요구,N,0
627,임진,N,0
628,걸린,N,0
629,결단,N,0
630,오차,N,0
631,구별,N,0
632,벌이다,V,0
633,주동자,N,0
634,우편배달부,N,0
635,기운,N,0
636,우대,N,2
637,사귀다,V,0
638,가마솥,N,0
639,잇다,V,0
640,수양,N,0
641,젊다,V,1
642,나아가다,V,0
643,강릉,N,0
644,제어,N,0
645,거처,N,0
646,말리다,V,0
647,우편물,N,0
648,산신,N,0
649,엿보다,V,0
650,은혜,N,2
651,힘쓰다,V,1
652,선명,N,0
653,신데,N,0
654,얘기,N,0
655,자처,N,0
656,장소,N,0
657,보살피다,V,0
658,올림픽,N,0
659,사람됨,N,0
660,뒤떨어지다,V,-2
661,어린애,N,0
662,체득,N,0
663,웃다,V,2
664,공략,N,0
665,야만,N,0
666,변천,N,0
667,통괄,N,0
668,믿음,N,0
669,살리,N,0
670,책임,N,0
671,통일교,N,0
672,아냐다,V,0
673,다스리다,V,0
674,제사,N,0
