,단어,품사,점수
547,재앙,NNG,-2
548,독기,NNG,-2
549,독살,NNG,-2
550,독하,VA,-2
551,돌팔매질,NNG,-2
552,들고일어나,VV,-2
553,디스,NNP,-1
554,리콜,NNG,-2
555,마약상,NNG,-2
556,만신창이,NNG,-2
557,말살,NNG,-2
558,망신살,NNG,-2
559,맞소송,NNG,-2
560,먹칠,NNG,-2
561,먹통,NNG,-2
562,멘붕,NNP,-2
563,몰살,NNG,-2
564,몰염치,NNG,-2
565,무자비,XR,-2
566,밀반출,NNG,-2
567,반란,NNG,-2
568,반발,NNG,-1
569,방해죄,NNG,-1
570,배신감,NNG,-2
571,배신자,NNG,-2
572,벅차,VA,-1
573,부정부패,NNG,-2
574,뺑소니,NNG,-2
575,뼈아프,VA,-2
576,뼈저리,VA,-2
577,사양,NNG,-2
578,산불,NNG,-2
579,산사태,NNG,-2
580,살육,NNG,-2
581,살인마,NNG,-2
582,살인자,NNG,-2
583,살인,NNG,-2
584,살해범,NNG,-2
585,설치,VV,-1
586,성범죄,NNG,-2
587,성추행,NNG,-2
588,성폭력,NNG,-2
589,성희롱,NNG,-2
590,속병,NNG,-2
591,속앓이,NNG,-2
592,손실액,NNG,-2
593,쇠락,NNG,-2
594,쇠퇴,NNG,-2
595,시련,NNG,-2
596,시름,NNG,-2
597,시한폭탄,NNG,-2
598,아사,NNG,-2
599,악명,NNG,-2
600,악몽,NNG,-2
601,악습,NNG,-2
602,악용,NNG,-2
603,암울,NNG,-2
604,암흑기,NNG,-2
605,압류,NNG,-2
606,앙심,NNG,-2
607,얄밉,VA,-1
608,얌체,NNG,-1
609,얌체족,NNG,-1
610,억눌리,VV,-2
611,억류,NNG,-2
612,억측,NNG,-2
613,엄벌,NNG,-2
614,오열,NNG,-2
615,완패,NNG,-2
616,왕따,NNG,-2
617,울분,NNG,-2
618,위급,NNG,-2
619,위중,XR,-2
620,위험천만,NNG,-2
621,윽박지르,VV,-2
622,은닉,NNG,-2
623,을씨년,XR,-1
624,이기심,NNG,-2
625,인질범,NNG,-2
626,인플루엔자,NNG,-2
627,저주,NNG,-2
628,절망,NNG,-2
629,점거,NNG,-2
630,정면충돌,NNG,-2
631,조급증,NNG,-1
632,종북,NNG,-2
633,지독,XR,-2
634,지옥,NNG,-2
635,과하,VA,-2
636,진부,XR,-1
637,짓밟,VV,-2
638,찌질이,NNG,-2
639,참변,NNG,-2
640,처참,XR,-2
641,척박,XR,-2
642,천덕꾸러기,NNG,-2
643,초비상,NNG,-2
644,총파업,NNG,-2
645,최빈국,NNG,-2
646,최악,NNG,-2
647,최하,NNG,-2
648,하단,NNG,-2
649,최하위권,NNG,-2
650,축내,VV,-1
651,충격,NNG,-2
652,클레임,NNG,-2
653,탈루,NNG,-2
654,탈세,NNG,-2
655,퇴짜,NNG,-2
656,퇴출,NNG,-2
657,퇴치,NNG,-2
658,투신,NNG,-2
659,자살,NNG,-2
660,파괴자,NNG,-2
661,파괴,NNG,-2
662,파렴치범,NNG,-2
663,판치,VV,-2
664,패륜,NNG,-2
665,패륜아,NNG,-2
666,퍼붓,VV,-1
667,폭파,NNG,-2
668,피난,NNG,-1
669,핵탄두,NNG,-2
670,허덕이,VV,-2
671,헐뜯,VV,-2
672,험난,XR,-2
673,험하,VA,-2
674,혈안,NNG,-2
675,협박범,NNG,-2
676,혹독,XR,-2
677,화형식,NNG,-2
678,환멸,NNG,-2
679,황폐,NNG,-2
680,횡행,NNG,-2
681,휘두르,VV,-1
682,흉사,NNG,-2
683,흉흉,XR,-2
684,희박,XR,-1
